44TZ ,Emoticon ,0Text$ ,2CreatedM ,16Name ,17Loc$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska ,:/ ,"mam asi :/ semoga nda adaji deh besok biar bisa saya nonton dramamu hahaRT @aftiaulia: Yuhuuuu, siapa (cont) http://t.co/ZKWC3S4f ",Fri Nov 11 09:00:08 +0000 2011 ,Anggita Dwi Nanda ,"makassar , indonesisa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo ,(^o^) ,(^o^) ,Fri Nov 11 09:00:08 +0000 2011 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:p ,"jangannnRT @JovancaN: @soniahanna yaudadah , gue bsok masuk aj \()/ :p ",Fri Nov 11 09:00:08 +0000 2011 ,Hanna Sonia L ,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Time (US & Canada) ,:D ,bukan :D RT@wahyudoherty Bang mng gw abng lu haha RT @restyDrachma ,Fri Nov 11 09:00:08 +0000 2011 ,my name is resty ,jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,"Di blog aku ada ff buatan aku, mau baca kah? :) RT @_Pompom21: Annyoeng Cinguduel, Ada Yang Punya Blog / Wordpress FF kah ?? ",Fri Nov 11 09:00:08 +0000 2011 ,Cacinggg Official   ,Pearl Teal Ocean ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago ,D: ,@aLUANcinada_ nem tenho amor D: ,Fri Nov 11 09:00:08 +0000 2011 ,Ligadas No Luan S   ,Pelotas - RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,"@lala_lugiana iya la iya, percaya gua. gua aminin malah kalo ntar lu nikah ditayangin di tv :) ",Fri Nov 11 09:00:08 +0000 2011 ,brian gemilang ,my home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,"@TheBestOf_nadya kelas 2smp ka,kalo kmu?  :) ",Fri Nov 11 09:00:08 +0000 2011 ,Zahra Rosae  ,"karawaci,tangerang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,"Tweeps, follow nih @pepatahCINTA agar kehidupan cinta kamu menjadi lebih bahagia :) ",Fri Nov 11 09:00:08 +0000 2011 ,MauTanyaNih ,Follow juga @PantunGombal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,(>_<) ,RT @kochibidono: (&gt;_&lt;) http://t.co/SmReHdTT  # # #kawasaki # ... ,Fri Nov 11 09:00:08 +0000 2011 ,Bot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:/ ,@TheGinger5  .... I really hope you're not dead. Haha.. @Mini_Cornish keeps telling me you are and its freaking me out. Haha. :/ ,Fri Nov 11 09:00:08 +0000 2011 ,Arielle Vu ,US of A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,"Happy 11.11.11 everyone, smile and vibe high, its a great time to be alive! only 111 days until new year :) xxxx ",Fri Nov 11 09:00:09 +0000 2011 ,The White Hatters ,"Hampshire, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) , ~~ ' :) ,Fri Nov 11 09:00:09 +0000 2011 ,Mine Kaaom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athens ,<3 ,Another World literally took me to an another world..WHAT A SONG &lt;3 ,Fri Nov 11 09:00:09 +0000 2011 ,May ,Greece.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakarta ,:D ,ajak tantenya juga deh --&gt; RT @mitunmia: @helloosyaflia waaah iyaya seru yaa jadinya did :D bapaknya diajak juga yaa *poke @arariady ,Fri Nov 11 09:00:09 +0000 2011 ,Frida Syaflia ,"Yogyakarta, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland ,xD ,@Vanelyu acabo de leer el tweet xD Tope de puerta? Este chico se nos ha quedado tonto....xD ,Fri Nov 11 09:00:09 +0000 2011 ,Noemi ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:p ,@Smokiroll is in  wimme.. How we go do na?? :p ,Fri Nov 11 09:00:09 +0000 2011 ,Toke Awoponle ,"T: 9.0581912,7.4971894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
